Order ID,Order Date,Region,State,Product Category,Sub-Category,Sales,Profit,Quantity,Customer Segment
ORD-352422,2022-04-10,North,Himachal Pradesh,Furniture,Bookcases,31720.83,4617.74,2,Consumer
ORD-377319,2024-01-20,South,Telangana,Electronics,Cameras,18431.42,881.01,1,Corporate
ORD-753516,2022-09-01,South,Kerala,Office Supplies,Pens & Stationery,2025.86,780.0,3,Consumer
ORD-731728,2024-11-08,South,Tamil Nadu,Electronics,Tablets,135671.39,26913.15,5,Home Office
ORD-434002,2022-11-29,East,Bihar,Furniture,Sofas,150000,13003.14,5,Consumer
ORD-806537,2024-09-10,East,Assam,Office Supplies,Labels,1457.24,-17.06,1,Consumer
ORD-258787,2024-11-28,North,Himachal Pradesh,Furniture,Storage,8484.81,1810.33,2,Consumer
ORD-471496,2024-09-28,North,Himachal Pradesh,Electronics,Phones,84294.19,19266.04,3,Consumer
ORD-910616,2022-10-27,North,Himachal Pradesh,Electronics,Accessories,11961.06,2585.8,3,Corporate
ORD-384303,2023-07-11,East,Assam,Electronics,Phones,82945.61,10533.62,3,Corporate
ORD-205428,2022-10-09,East,Odisha,Furniture,Storage,9144.24,1225.11,2,Corporate
ORD-906066,2022-12-25,West,Maharashtra,Office Supplies,Labels,2744.08,976.79,4,Consumer
ORD-412886,2023-11-18,Central,Jammu & Kashmir,Furniture,Tables,109995.47,-3987.27,5,Consumer
ORD-295243,2023-01-31,West,Madhya Pradesh,Office Supplies,Envelopes,1201.67,540.75,2,Consumer
ORD-360096,2022-01-14,North,Punjab,Office Supplies,Pens & Stationery,2834.22,1275.4,3,Consumer
ORD-477017,2023-04-29,South,Kerala,Electronics,Printers,36853.55,-4113.34,2,Consumer
ORD-744481,2023-03-29,South,Karnataka,Furniture,Sofas,76155.26,5930.21,2,Corporate
ORD-940952,2024-12-17,South,Telangana,Electronics,Cameras,87249.65,19574.39,6,Consumer
ORD-813341,2024-09-28,East,West Bengal,Furniture,Sofas,65112.89,16210.89,2,Consumer
ORD-122827,2024-03-21,South,Karnataka,Furniture,Chairs,36816.93,6138.62,2,Home Office
ORD-595002,2022-03-06,South,Karnataka,Office Supplies,Storage Boxes,6435.47,1588.19,3,Home Office
ORD-501058,2023-12-14,Central,Uttarakhand,Furniture,Tables,150000,1641.47,5,Consumer
ORD-583000,2023-12-10,South,Tamil Nadu,Electronics,Printers,37353.76,-1516.87,2,Consumer
ORD-135207,2022-04-10,South,Andhra Pradesh,Electronics,Laptops,150000,47344.22,4,Home Office
ORD-704095,2023-10-16,West,Goa,Electronics,Laptops,150000,47851.87,9,Corporate
ORD-870925,2022-12-25,North,Haryana,Electronics,Tablets,150000,14366.31,7,Consumer
ORD-891062,2024-08-27,North,Himachal Pradesh,Electronics,Accessories,18184.42,6189.86,6,Home Office
ORD-684357,2024-12-21,North,Delhi,Electronics,Phones,150000,19301.44,7,Corporate
ORD-732209,2023-11-13,Central,Chhattisgarh,Office Supplies,Storage Boxes,4285.88,701.4,1,Corporate
ORD-314447,2023-10-21,North,Rajasthan,Furniture,Bookcases,12013.32,3949.49,1,Consumer
ORD-980521,2024-01-30,South,Karnataka,Office Supplies,Binders,2836.9,1276.61,1,Corporate
ORD-537862,2023-08-28,North,Haryana,Furniture,Tables,55822.56,7839.6,2,Home Office
ORD-772865,2024-10-01,West,Goa,Electronics,Printers,17592.07,1467.0,2,Home Office
ORD-649395,2024-04-24,East,West Bengal,Office Supplies,Binders,1640.02,672.21,1,Home Office
ORD-791309,2024-09-26,East,Jharkhand,Electronics,Cameras,89859.72,14042.09,4,Corporate
ORD-831758,2023-01-03,South,Karnataka,Electronics,Cameras,60021.58,8118.5,2,Consumer
ORD-525750,2023-04-08,West,Maharashtra,Furniture,Chairs,11343.81,3175.99,1,Corporate
ORD-158840,2022-06-19,North,Punjab,Furniture,Chairs,139328.09,28816.84,6,Corporate
ORD-694316,2024-08-31,Central,Jammu & Kashmir,Office Supplies,Envelopes,698.71,283.51,3,Consumer
ORD-317221,2022-10-23,West,Madhya Pradesh,Office Supplies,Pens & Stationery,576.79,132.25,1,Consumer
ORD-892313,2022-10-14,West,Maharashtra,Furniture,Bookcases,11392.25,3068.06,1,Consumer
ORD-906360,2023-10-31,North,Haryana,Furniture,Bookcases,28541.57,2222.87,3,Corporate
ORD-409727,2022-06-18,North,Himachal Pradesh,Electronics,Accessories,1958.96,440.39,2,Consumer
ORD-423241,2024-06-29,North,Delhi,Electronics,Accessories,5992.66,1495.4,2,Consumer
ORD-197584,2022-01-26,North,Uttar Pradesh,Office Supplies,Envelopes,7069.04,1944.55,6,Corporate
ORD-277820,2024-02-19,North,Punjab,Furniture,Chairs,9071.16,1288.23,1,Consumer
ORD-358568,2024-10-12,South,Tamil Nadu,Electronics,Phones,150000,39431.75,7,Consumer
ORD-450996,2022-10-06,East,Odisha,Furniture,Tables,150000,12180.21,8,Corporate
ORD-512022,2024-01-18,East,Assam,Office Supplies,Paper,3705.51,431.81,3,Consumer
ORD-842776,2022-10-13,North,Himachal Pradesh,Electronics,Accessories,3826.43,706.82,4,Corporate
ORD-825309,2022-06-24,North,Himachal Pradesh,Electronics,Printers,40344.91,5468.11,3,Corporate
ORD-889245,2023-11-11,North,Uttar Pradesh,Electronics,Laptops,127670.44,8632.49,2,Corporate
ORD-717181,2024-10-21,Central,Uttarakhand,Electronics,Accessories,6978.1,1151.22,7,Consumer
ORD-922366,2023-12-15,North,Himachal Pradesh,Furniture,Chairs,42367.15,10696.27,2,Corporate
ORD-272337,2022-11-24,North,Haryana,Electronics,Accessories,4412.21,755.05,3,Consumer
ORD-873207,2024-05-29,West,Gujarat,Electronics,Printers,29692.28,8021.99,5,Consumer
ORD-579776,2022-08-22,West,Goa,Furniture,Sofas,29138.57,7190.87,2,Consumer
ORD-280908,2023-10-04,North,Delhi,Electronics,Laptops,106529.49,11377.95,2,Corporate
ORD-776604,2022-12-21,North,Delhi,Electronics,Accessories,15066.99,4508.45,3,Consumer
ORD-304607,2024-11-01,North,Haryana,Furniture,Storage,5679.58,1020.14,2,Consumer
ORD-663723,2023-08-15,North,Himachal Pradesh,Office Supplies,Labels,984.92,225.22,2,Consumer
ORD-912764,2024-05-20,West,Gujarat,Electronics,Phones,41794.7,8986.71,2,Home Office
ORD-913308,2023-05-01,West,Goa,Office Supplies,Envelopes,1097.94,221.15,3,Consumer
ORD-316656,2023-12-20,East,Odisha,Electronics,Printers,15532.64,-1041.17,1,Corporate
ORD-531589,2022-09-29,West,Gujarat,Office Supplies,Storage Boxes,2509.9,613.59,2,Corporate
ORD-758309,2024-04-28,South,Tamil Nadu,Furniture,Bookcases,48847.33,3182.5,3,Corporate
ORD-911739,2024-12-30,Central,Chhattisgarh,Furniture,Bookcases,47426.26,6686.96,5,Consumer
ORD-460437,2022-04-10,East,Jharkhand,Electronics,Laptops,50087.87,8812.0,2,Corporate
ORD-266699,2023-07-16,North,Uttar Pradesh,Electronics,Printers,10945.12,1214.69,1,Corporate
ORD-345517,2022-07-14,North,Delhi,Furniture,Sofas,31114.43,2662.44,3,Consumer
ORD-238595,2024-09-05,North,Himachal Pradesh,Office Supplies,Binders,5404.94,1005.69,2,Consumer
ORD-911032,2022-10-20,East,Assam,Furniture,Storage,9188.34,2305.98,2,Consumer
ORD-205345,2022-10-14,East,Jharkhand,Electronics,Accessories,2352.3,-140.68,2,Corporate
ORD-737107,2023-09-10,East,Odisha,Office Supplies,Pens & Stationery,3656.83,1243.59,3,Consumer
ORD-769077,2023-10-11,West,Madhya Pradesh,Electronics,Printers,13852.14,-1090.67,1,Consumer
ORD-326222,2024-10-23,North,Haryana,Electronics,Cameras,24548.76,7203.98,2,Home Office
ORD-262924,2023-11-01,East,West Bengal,Electronics,Accessories,17386.14,-853.72,4,Consumer
ORD-738407,2022-04-23,West,Gujarat,Electronics,Printers,5170.26,342.27,1,Corporate
ORD-371840,2022-12-08,West,Goa,Office Supplies,Binders,2571.24,878.5,4,Consumer
ORD-166974,2022-06-07,East,West Bengal,Furniture,Sofas,16292.4,-1249.14,1,Consumer
ORD-112884,2023-05-16,North,Delhi,Electronics,Phones,125448.19,-347.27,3,Corporate
ORD-539740,2023-04-05,North,Himachal Pradesh,Electronics,Phones,37253.5,5692.56,3,Consumer
ORD-640828,2023-09-29,East,West Bengal,Electronics,Tablets,61528.38,6809.84,3,Consumer
ORD-720432,2023-05-18,Central,Chhattisgarh,Electronics,Tablets,94250.71,18580.06,3,Consumer
ORD-873935,2023-09-22,East,Odisha,Furniture,Chairs,55189.95,8114.96,9,Consumer
ORD-986575,2024-11-30,West,Madhya Pradesh,Office Supplies,Binders,5796.41,1481.78,3,Consumer
ORD-794622,2022-09-25,North,Punjab,Office Supplies,Labels,6200.4,2238.29,4,Consumer
ORD-385166,2023-04-24,South,Telangana,Electronics,Phones,25244.04,2309.48,1,Home Office
ORD-317722,2024-07-14,North,Uttar Pradesh,Electronics,Printers,31141.14,5603.45,2,Consumer
ORD-998182,2023-11-03,West,Goa,Electronics,Phones,60736.34,15784.93,3,Consumer
ORD-884417,2023-05-27,South,Karnataka,Electronics,Phones,150000,28470.61,5,Consumer
ORD-963684,2024-03-31,East,West Bengal,Furniture,Bookcases,30298.92,5365.88,6,Corporate
ORD-196446,2023-11-11,Central,Chhattisgarh,Electronics,Cameras,59221.18,6162.13,2,Consumer
ORD-471136,2023-07-18,West,Maharashtra,Furniture,Sofas,21804.21,-1046.11,1,Consumer
ORD-309146,2024-12-12,Central,Jammu & Kashmir,Office Supplies,Labels,3939.43,1253.33,4,Home Office
ORD-626797,2023-10-21,South,Kerala,Furniture,Chairs,121828.44,35584.8,6,Corporate
ORD-344068,2022-11-23,East,Bihar,Furniture,Chairs,103645.34,16456.36,4,Consumer
ORD-979988,2022-12-22,East,Bihar,Office Supplies,Binders,5986.57,2551.22,4,Corporate
ORD-616137,2023-09-25,South,Tamil Nadu,Electronics,Laptops,56069.28,17140.25,1,Corporate
ORD-945619,2022-09-25,South,Kerala,Electronics,Laptops,150000,26642.81,3,Home Office
ORD-491738,2023-11-21,South,Karnataka,Office Supplies,Labels,8485.47,1280.77,4,Consumer
ORD-689275,2024-01-01,East,Odisha,Electronics,Printers,20730.68,1619.79,3,Home Office
ORD-695048,2022-03-08,North,Rajasthan,Electronics,Cameras,21397.0,-1247.72,1,Consumer
ORD-181586,2023-05-03,North,Himachal Pradesh,Office Supplies,Binders,10875.31,3432.34,5,Consumer
ORD-319869,2023-12-19,South,Tamil Nadu,Electronics,Accessories,22023.7,4454.27,4,Consumer
ORD-497108,2023-12-21,South,Andhra Pradesh,Office Supplies,Envelopes,2726.42,1124.34,3,Consumer
ORD-434198,2022-06-01,West,Gujarat,Office Supplies,Envelopes,8246.29,2630.28,7,Home Office
ORD-606186,2022-12-04,North,Uttar Pradesh,Electronics,Laptops,150000,30763.08,9,Consumer
ORD-511987,2024-10-02,North,Haryana,Electronics,Printers,37147.45,2973.69,3,Corporate
ORD-185916,2024-08-22,East,West Bengal,Furniture,Storage,10854.93,1028.4,1,Consumer
ORD-337232,2022-11-06,East,West Bengal,Furniture,Sofas,83264.33,-4888.5,2,Home Office
ORD-820442,2022-06-11,West,Maharashtra,Furniture,Sofas,150000,18078.5,5,Consumer
ORD-275284,2022-09-16,South,Andhra Pradesh,Electronics,Printers,13925.71,1479.25,1,Corporate
ORD-946561,2022-05-18,East,Assam,Electronics,Tablets,75361.07,19430.85,2,Corporate
ORD-217984,2024-04-28,East,Assam,Office Supplies,Binders,13346.97,-958.54,7,Consumer
ORD-530849,2023-06-25,North,Rajasthan,Furniture,Tables,10034.84,-1093.37,1,Consumer
ORD-349119,2022-02-11,West,Goa,Electronics,Accessories,17909.17,3624.17,5,Home Office
ORD-339030,2022-10-03,West,Goa,Electronics,Accessories,2884.62,1009.62,3,Consumer
ORD-641590,2024-11-21,South,Telangana,Furniture,Sofas,68883.31,7003.04,6,Corporate
ORD-361609,2023-07-16,North,Haryana,Furniture,Chairs,24967.91,2453.25,3,Home Office
ORD-597635,2023-12-18,West,Goa,Office Supplies,Storage Boxes,894.45,238.03,1,Home Office
ORD-917711,2024-11-17,West,Maharashtra,Furniture,Tables,78219.08,13909.48,3,Home Office
ORD-773962,2023-07-18,North,Punjab,Furniture,Tables,57403.73,17775.49,2,Consumer
ORD-207282,2023-08-02,South,Tamil Nadu,Electronics,Tablets,108365.29,16815.87,3,Home Office
ORD-413305,2023-01-21,West,Maharashtra,Office Supplies,Scissors & Cutters,3924.59,1670.93,5,Consumer
ORD-246726,2023-08-29,North,Haryana,Office Supplies,Envelopes,3088.17,965.02,4,Consumer
ORD-660605,2022-12-15,West,Gujarat,Electronics,Accessories,1865.69,745.82,1,Corporate
ORD-291961,2023-11-19,North,Delhi,Office Supplies,Pens & Stationery,2856.65,766.41,2,Consumer
ORD-156284,2022-05-26,South,Tamil Nadu,Office Supplies,Labels,2004.56,517.7,2,Home Office
ORD-258102,2023-12-03,East,Jharkhand,Electronics,Printers,6522.12,-425.28,1,Corporate
ORD-704272,2022-11-21,West,Maharashtra,Electronics,Accessories,7951.56,2180.18,3,Consumer
ORD-139557,2024-12-29,North,Uttar Pradesh,Office Supplies,Scissors & Cutters,2911.8,706.59,5,Corporate
ORD-461076,2023-10-02,North,Rajasthan,Electronics,Phones,99319.02,12092.8,5,Corporate
ORD-725339,2024-12-09,West,Gujarat,Electronics,Accessories,3079.22,1080.21,2,Consumer
ORD-862491,2022-09-26,South,Telangana,Electronics,Tablets,136718.24,16956.93,4,Consumer
ORD-771425,2022-02-10,South,Andhra Pradesh,Electronics,Cameras,26950.44,4786.29,1,Consumer
ORD-541315,2022-10-08,West,Maharashtra,Electronics,Phones,68192.18,20252.72,2,Corporate
ORD-311469,2023-08-28,East,Odisha,Furniture,Storage,4054.76,290.3,2,Corporate
ORD-256389,2023-08-30,South,Karnataka,Office Supplies,Scissors & Cutters,1261.92,177.17,1,Consumer
ORD-874415,2022-08-26,West,Maharashtra,Electronics,Laptops,108249.89,11508.46,3,Home Office
ORD-197466,2023-01-10,North,Haryana,Electronics,Accessories,7956.31,2641.4,3,Consumer
ORD-935620,2022-12-08,West,Maharashtra,Office Supplies,Scissors & Cutters,870.06,294.83,1,Consumer
ORD-498197,2022-09-25,North,Haryana,Furniture,Chairs,9913.23,703.22,1,Corporate
ORD-810859,2024-12-10,East,Assam,Electronics,Printers,84639.15,3491.32,6,Corporate
